2035,7, 243,-4
60539,236, 123,30
14595,57, 3,64
13853,54, 29,0
24143,94, 79,-109
15216,59, 112,0
8113,31, 177,0
22640,88, 112,0
32978,128, 210,32
39151,152, 239,59
19520,76, 64,0
58141,227, 29,0
63959,249, 215,117
53040,207, 48,0
55842,218, 34,54
585,2, 73,0
51229,200, 29,0
64181,250, 181,0
54879,214, 95,-105
28210,110, 50,27
10268,40, 28,0
15395,60, 35,8
12884,50, 84,0
2149,8, 101,0
53483,208, 235,58
59606,232, 214,58
14981,58, 133,0
36672,143, 64,0
23197,90, 157,0
36518,142, 166,35
13361,52, 49,0
19810,77, 98,19
25955,101, 99,88
62678,244, 214,61
26021,101, 165,0
29409,114, 225,0
38111,148, 223,55
58573,228, 205,0
56840,222, 8,0
41306,161, 90,40
54426,212, 154,53
3617,14, 33,0
50652,197, 220,0
41452,161, 236,0
20241,79, 17,0
31723,123, 235,-6
53747,209, 243,124
28550,111, 134,27
23402,91, 106,22
21205,82, 213,0
56181,219, 117,0
57470,224, 126,56
39933,155, 253,0
34964,136, 148,0
24781,96, 205,0
41747,163, 19,-60
62564,244, 100,0
58461,228, 93,0
20858,81, 122,20
49301,192, 149,0
40572,158, 124,0
23840,93, 32,0
35278,137, 206,34
62905,245, 185,0
56650,221, 74,55
11149,43, 141,0
38920,152, 8,0
23430,91, 134,22
57592,224, 248,0
3080,12, 8,0
6677,26, 21,0
50704,198, 16,0
51883,202, 171,-86
62799,245, 79,83
20188,78, 220,0
1245,4, 221,0
12220,47, 188,0
17602,68, 194,17
28609,111, 193,0
42694,166, 198,41
29826,116, 130,29
13827,54, 3,-128
27336,106, 200,0
53343,208, 95,23
11533,45, 13,0
41713,162, 241,0
33890,132, 98,33
4894,19, 30,4
57599,224, 255,63
3870,15, 30,3
58622,228, 254,57
29780,116, 84,0
62553,244, 89,0
2303,8, 255,63
51915,202, 203,-78
6251,24, 107,26
38107,148, 219,54
59325,231, 189,0
61295,239, 111,-37
26699,104, 75,18
51188,199, 244,0
59519,232, 127,31
7345,28, 177,0
20325,79, 101,0
39633,154, 209,0
1562,6, 26,1
7580,29, 156,0
8170,31, 234,7
62256,243, 48,0
35823,139, 239,-5
27790,108, 142,27
13191,51, 135,-31
9772,38, 44,0
7477,29, 53,0
44455,173, 167,105
59546,232, 154,58
